customer_id,first_name,last_name,gender,age,email,phone,city,state,country,signup_date,customer_segment,annual_income,marital_status,occupation,loyalty_points,is_active
1,Oni,Kannan,Female,20,zmall@example.org,+916542351161,Hapur,Punjab,India,2023-10-26,Premium,592986,Single,Business,8279,True
2,Caleb,Sharaf,Male,63,radhakrishnanfarhan@example.net,09593103413,Nadiad,Himachal Pradesh,India,2025-06-04,Regular,1124594,Married,Accountant,4557,True
3,Janya,Gaba,Male,62,isha34@example.net,1928327648,Anantapur,Uttarakhand,India,2022-01-16,Regular,1627114,Married,Teacher,3527,False
4,Veer,Balay,Male,23,nandini41@example.org,5376724238,Bhimavaram,Maharashtra,India,2026-07-13,Regular,605657,Married,Lawyer,9891,False
5,Mohini,Pathak,Male,64,lakshitupadhyay@example.com,+910122691669,Dehri,Himachal Pradesh,India,2026-04-10,Regular,2449103,Single,Designer,1291,False
6,Advay,Contractor,Female,54,harini14@example.com,+917048281489,Jamnagar,Kerala,India,2022-12-10,GOld,491735,Single,Business,4741,True
7,Aadi,Naik,Male,24,hbahl@example.com,03039117182,Fatehpur,Nagaland,India,2022-12-22,Regular,1365905,Married,Lawyer,2664,False
8,Alka,Wable,Female,31,ikakar@example.net,3465787133,Sonipat,Andhra Pradesh,India,2026-04-12,Silver,2918057,Single,Accountant,2803,True
9,Victor,Kannan,Male,47,bobaldaniel@example.org,+910518347382,Latur,Uttar Pradesh,India,2025-08-04,Regular,1332243,Single,Lawyer,916,True
10,Niharika,Gupta,Male,69,chatterjeeraagini@example.com,06701065133,Jorhat,Manipur,India,2022-10-05,Silver,1882607,Married,Doctor,3456,False
11,Pahal,Goswami,Male,59,turvi31@example.com,1080132677,Rewa,Arunachal Pradesh,India,2022-12-20,Regular,1859400,Married,Teacher,4339,True
12,Ladli,Agate,Male,65,ylanka@example.com,06872343098,Satara,Arunachal Pradesh,India,2021-12-29,Silver,2651931,Married,Accountant,6543,False
13,Vansha,Thakkar,Male,26,daksheshtrivedi@example.org,+911913619399,Udupi,Assam,India,2025-02-18,Regular,581301,Single,Doctor,2504,True
14,Diya,Lal,Female,56,diptakhare@example.com,02475107991,Siwan,Gujarat,India,2025-11-14,Premium,1813831,Married,Accountant,7668,False
15,Alka,Deo,Male,61,ekapad35@example.com,+917849808412,Bhiwandi,Bihar,India,2026-04-10,Premium,2452216,Married,Lawyer,1827,False
16,Nachiket,Magar,Female,28,shivansh53@example.net,4874016400,Bikaner,Rajasthan,India,2023-10-18,Regular,213611,Married,Data Analyst,2927,True
17,Neel,Sathe,Female,58,handra@example.org,2805982620,Bharatpur,Uttar Pradesh,India,2021-11-27,GOld,841054,Married,Teacher,8837,True
18,Ishita,Kade,Female,49,harshilpandya@example.net,09232260256,Shimoga,Goa,India,2022-06-27,Premium,669207,Married,Student,3923,True
19,Lavanya,Barad,Male,54,mkapadia@example.com,04330365414,Danapur,Madhya Pradesh,India,2026-02-16,Premium,559256,Married,Doctor,8727,True
20,Garima,Bala,Male,60,lalpranav@example.net,00196556981,Gangtok,Gujarat,India,2023-09-26,Regular,2506043,Single,Student,8645,False
21,Chaitanya,Sarin,Male,52,venkateshronith@example.com,01595148465,Sagar,Nagaland,India,2022-08-26,GOld,1507432,Married,Lawyer,7177,False
22,Rehaan,Salvi,Male,33,nghosh@example.net,06804436995,Mango,Manipur,India,2023-05-21,GOld,468544,Married,Software Engineer,9638,True
23,Yasti,Solanki,Male,18,fradomander@example.net,9513433200,Fatehpur,Punjab,India,2022-03-10,Premium,2847037,Single,Business,1104,True
24,Tamanna,Sachdeva,Female,22,leenatalwar@example.com,+912016328708,Bhilai,Manipur,India,2022-09-14,GOld,1368018,Married,Business,8834,True
25,Ucchal,Wali,Female,33,saanvi98@example.com,7277434873,Gandhidham,Assam,India,2023-12-31,Regular,1907333,Single,Doctor,1588,False
26,Wahab,Magar,Female,45,ekaja81@example.org,+913623166587,Ghaziabad,Gujarat,India,2025-02-21,Regular,2158843,Single,Doctor,993,False
27,Lopa,Bahri,Female,69,asood@example.com,06688937346,Bhopal,Madhya Pradesh,India,2024-06-05,Premium,1242940,Single,Business,8786,False
